date,equity,cash,position_value
2025-01-02 05:00:00,99996.411,155352.8943747866,55356.483374786614
2025-01-03 05:00:00,111537.47954087451,155352.8943747866,43815.41483391211
2025-01-06 05:00:00,117995.18483702384,155352.8943747866,37357.70953776277
2025-01-07 05:00:00,108861.28817677652,155352.8943747866,46491.606198010086
2025-01-08 05:00:00,110799.45093606677,155352.8943747866,44553.44343871984
2025-01-10 05:00:00,96643.8249423694,155352.8943747866,58709.06943241721
2025-01-13 05:00:00,100215.75376675367,155352.8943747866,55137.14060803295
2025-01-14 05:00:00,102348.4003285055,155352.8943747866,53004.49404628113
2025-01-15 05:00:00,120122.22367096433,155352.8943747866,35230.670703822274
2025-01-16 05:00:00,119189.23668460322,155352.8943747866,36163.65769018339
2025-01-17 05:00:00,127707.80656438919,155352.8943747866,27645.08781039743
2025-01-21 05:00:00,191472.45048762194,244857.80606924664,53385.35558162471
2025-01-22 05:00:00,185953.86073077703,244857.80606924664,58903.94533846961
2025-01-23 05:00:00,180799.0884817221,244857.80606924664,64058.71758752454
2025-01-24 05:00:00,184691.46944953914,244857.80606924664,60166.33661970748
2025-01-27 05:00:00,200864.13471880407,244857.80606924664,43993.67135044258
2025-01-28 05:00:00,193483.04235724302,244857.80606924664,51374.763712003616
2025-01-29 05:00:00,198584.40205497103,244857.80606924664,46273.40401427561
2025-01-30 05:00:00,194110.46924100193,244857.80606924664,50747.336828244705
2025-01-31 05:00:00,200063.53906906946,244857.80606924664,44794.267000177184
2025-02-03 05:00:00,208368.30660310152,244857.80606924664,36489.49946614513
2025-02-04 05:00:00,203230.01424772845,244857.80606924664,41627.79182151818
2025-02-05 05:00:00,200165.4313055168,244857.80606924664,44692.37476372985
2025-02-06 05:00:00,197492.31070352503,244857.80606924664,47365.49536572162
2025-02-07 05:00:00,207203.57445507083,244857.80606924664,37654.23161417579
2025-02-10 05:00:00,203379.82249016594,244857.80606924664,41477.98357908068
2025-02-11 05:00:00,203514.8239241264,244857.80606924664,41342.98214512024
2025-02-12 05:00:00,207576.74806658376,244857.80606924664,37281.05800266288
2025-02-13 05:00:00,197642.37626757953,244857.80606924664,47215.42980166712
2025-02-14 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-18 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-19 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-20 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-21 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-24 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-25 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-26 05:00:00,251560.6536619338,251560.6536619338,0.0
2025-02-27 05:00:00,251557.0646619338,306223.3792913852,54666.31462945138
2025-02-28 05:00:00,265556.50497478934,306223.3792913852,40666.874316595815
2025-03-03 05:00:00,251082.53099927664,306223.3792913852,55140.84829210854
2025-03-04 05:00:00,238661.85893575003,306223.3792913852,67561.52035563513
2025-03-05 05:00:00,251015.50810714703,306223.3792913852,55207.87118423814
2025-03-06 05:00:00,231058.64353550648,306223.3792913852,75164.7357558787
2025-03-07 05:00:00,238467.31257561303,306223.3792913852,67756.06671577213
2025-03-10 04:00:00,203447.3578918456,306223.3792913852,102776.02139953958
2025-03-11 04:00:00,190887.36614903412,306223.3792913852,115336.01314235106
2025-03-12 04:00:00,199627.5745438863,306223.3792913852,106595.80474749889
2025-03-13 04:00:00,178249.6315734089,306223.3792913852,127973.74771797626
2025-03-14 04:00:00,211293.45826417574,306223.3792913852,94929.92102720942
2025-03-17 04:00:00,224222.17650966108,306223.3792913852,82001.2027817241
2025-03-18 04:00:00,208339.6017302592,306223.3792913852,97883.777561126
2025-03-19 04:00:00,225351.20995651564,306223.3792913852,80872.16933486954
2025-03-20 04:00:00,221640.5946489381,306223.3792913852,84582.78464244709
2025-03-21 04:00:00,218117.502171686,306223.3792913852,88105.87711969917
2025-03-24 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-03-25 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-03-26 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-03-27 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-03-28 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-03-31 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-04-01 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-04-02 04:00:00,299942.0514219888,299942.0514219888,0.0
2025-04-03 04:00:00,299937.9774219888,353600.4116243553,53662.43420236649
2025-04-04 04:00:00,219874.48139654158,353600.4116243553,133725.93022781372
2025-04-07 04:00:00,270203.1561400137,325042.7987658215,54839.64262580779
2025-04-08 04:00:00,253250.466795565,325042.7987658215,71792.33197025649
2025-04-09 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-10 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-11 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-14 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-15 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-16 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-17 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-21 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-22 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-23 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-24 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-25 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-28 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-29 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-04-30 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-01 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-02 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-05 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-06 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-07 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-08 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-09 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-12 04:00:00,372545.1314197532,372545.1314197532,0.0
2025-05-13 04:00:00,372542.22141975316,428491.44318426267,55949.22176450949
2025-05-14 04:00:00,371357.0760685878,428491.44318426267,57134.367115674875
2025-05-15 04:00:00,367013.7822373227,428491.44318426267,61477.66094693998
2025-05-16 04:00:00,360804.5235054343,428491.44318426267,67686.91967882836
2025-05-19 04:00:00,361573.8050993459,428491.44318426267,66917.63808491675
2025-05-20 04:00:00,366029.88723552955,428491.44318426267,62461.55594873312
2025-05-21 04:00:00,383745.74651936005,428491.44318426267,44745.69666490259
2025-05-22 04:00:00,384087.7519560153,428491.44318426267,44403.69122824734
2025-05-23 04:00:00,390692.4135112163,428491.44318426267,37799.02967304639
2025-05-27 04:00:00,374191.1580466916,428491.44318426267,54300.28513757105
2025-05-28 04:00:00,380964.2371425109,428491.44318426267,47527.20604175176
2025-05-29 04:00:00,377699.72046673024,428491.44318426267,50791.72271753242
2025-05-30 04:00:00,379651.22080526303,428491.44318426267,48840.22237899961
2025-06-02 04:00:00,376019.2381987396,428491.44318426267,52472.204985523094
2025-06-03 04:00:00,370247.2294561723,428491.44318426267,58244.213728090355
2025-06-04 04:00:00,371392.7684217736,428491.44318426267,57098.674762489056
2025-06-05 04:00:00,377897.1512498567,428491.44318426267,50594.291934405985
2025-06-06 04:00:00,421700.4226807189,421700.4226807189,0.0
2025-06-09 04:00:00,421700.4226807189,421700.4226807189,0.0
2025-06-10 04:00:00,421697.41568071884,475130.9984953236,53433.58281460472
2025-06-11 04:00:00,424589.7349563526,475130.9984953236,50541.26353897098
2025-06-12 04:00:00,421443.45153380744,475130.9984953236,53687.54696151611
2025-06-13 04:00:00,432511.23873027443,475130.9984953236,42619.75976504916
2025-06-16 04:00:00,426018.23433128657,475130.9984953236,49112.764164037006
2025-06-17 04:00:00,434543.7812599184,475130.9984953236,40587.21723540515
2025-06-18 04:00:00,435389.9263045109,475130.9984953236,39741.0721908127
2025-06-20 04:00:00,441152.1351535685,475130.9984953236,33978.86334175505
2025-06-23 04:00:00,435189.48533347447,475130.9984953236,39941.513161849136
2025-06-24 04:00:00,425339.87004298577,475130.9984953236,49791.12845233783
2025-06-25 04:00:00,425566.7930434599,475130.9984953236,49564.20545186371
2025-06-26 04:00:00,417772.8508307495,475130.9984953236,57358.14766457406
2025-06-27 04:00:00,412669.9991791524,475130.9984953236,62460.99931617116
2025-06-30 04:00:00,409125.4395570192,475130.9984953236,66005.55893830437
2025-07-01 04:00:00,410406.23702866276,475130.9984953236,64724.761466660835
2025-07-02 04:00:00,405176.7142658854,475130.9984953236,69954.28422943817
2025-07-03 04:00:00,394704.6321861396,475130.9984953236,80426.366309184
2025-07-07 04:00:00,461847.3492105556,461847.3492105556,0.0
2025-07-08 04:00:00,461847.3492105556,461847.3492105556,0.0
2025-07-09 04:00:00,461844.43921055563,516902.2611290471,55057.821918491456
2025-07-10 04:00:00,459119.57267922204,516902.2611290471,57782.68844982506
2025-07-11 04:00:00,463369.6577989089,516902.2611290471,53532.60333013821
2025-07-14 04:00:00,463592.7692316205,516902.2611290471,53309.4918974266
2025-07-15 04:00:00,468516.1771549733,516902.2611290471,48386.08397407376
2025-07-16 04:00:00,465994.89736703254,516902.2611290471,50907.36376201454
2025-07-17 04:00:00,460440.34013836,516902.2611290471,56461.920990687075
2025-07-18 04:00:00,461973.98719793215,516902.2611290471,54928.27393111491
2025-07-21 04:00:00,462255.92678611027,516902.2611290471,54646.334342936825
2025-07-22 04:00:00,462891.98291329923,516902.2611290471,54010.27821574786
2025-07-23 04:00:00,453988.40819697094,516902.2611290471,62913.852932076166
2025-07-24 04:00:00,454392.8223561523,516902.2611290471,62509.438772894784
2025-07-25 04:00:00,449975.65243464615,516902.2611290471,66926.60869440096
2025-07-28 04:00:00,452775.01001067203,516902.2611290471,64127.251118375054
2025-07-29 04:00:00,456956.96683244366,516902.2611290471,59945.29429660344
2025-07-30 04:00:00,459388.45406295825,516902.2611290471,57513.80706608882
2025-07-31 04:00:00,464794.0272470166,516902.2611290471,52108.23388203045
2025-08-01 04:00:00,482918.59178827313,516902.2611290471,33983.66934077393
2025-08-04 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-05 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-06 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-07 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-08 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-11 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-12 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-13 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-14 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-15 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-18 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-19 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-20 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-21 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-22 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-25 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-26 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-27 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-28 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-08-29 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-02 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-03 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-04 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-05 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-08 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-09 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-10 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-11 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-12 04:00:00,524860.7248300317,524860.7248300317,0.0
2025-09-15 04:00:00,524858.1058300318,579939.4406400471,55081.33481001531
2025-09-16 04:00:00,526297.4962899943,579939.4406400471,53641.944350052734
2025-09-17 04:00:00,528148.364894447,579939.4406400471,51791.07574560007
2025-09-18 04:00:00,524266.9538954825,579939.4406400471,55672.48674456453
2025-09-19 04:00:00,522740.69437973533,579939.4406400471,57198.74626031174
2025-09-22 04:00:00,519839.2793532397,579939.4406400471,60100.161286807415
2025-09-23 04:00:00,526278.3991036527,579939.4406400471,53661.0415363944
2025-09-24 04:00:00,530173.2895356098,579939.4406400471,49766.151104437275
2025-09-25 04:00:00,535284.2406198995,579939.4406400471,44655.200020147546
2025-09-26 04:00:00,530557.1695526922,579939.4406400471,49382.27108735484
2025-09-29 04:00:00,529985.1307359899,579939.4406400471,49954.30990405717
2025-09-30 04:00:00,526806.9573388739,579939.4406400471,53132.483301173146
2025-10-01 04:00:00,523849.17263890686,579939.4406400471,56090.268001140226
2025-10-02 04:00:00,523335.77713763854,579939.4406400471,56603.66350240852
2025-10-03 04:00:00,524151.91453827795,579939.4406400471,55787.52610176914
2025-10-06 04:00:00,522421.7684450327,579939.4406400471,57517.67219501435
2025-10-07 04:00:00,527633.0814418466,579939.4406400471,52306.35919820055
2025-10-08 04:00:00,521387.1729653566,579939.4406400471,58552.26767469047
2025-10-09 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-10 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-13 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-14 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-15 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-16 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-17 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-20 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-21 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-22 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-23 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-24 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-27 04:00:00,580331.6751322729,580331.6751322729,0.0
2025-10-28 04:00:00,580329.1531322729,636971.1747490314,56642.02161675853
2025-10-29 04:00:00,579932.8324525508,636971.1747490314,57038.34229648063
2025-10-30 04:00:00,590997.4121372221,636971.1747490314,45973.76261180929
2025-10-31 04:00:00,588722.8045662435,636971.1747490314,48248.37018278788
2025-11-03 05:00:00,589719.6366128604,636971.1747490314,47251.53813617103
2025-11-04 05:00:00,600648.9754263572,636971.1747490314,36322.19932267423
2025-11-05 05:00:00,598549.139523682,636971.1747490314,38422.03522534952
2025-11-06 05:00:00,607428.2912574089,636971.1747490314,29542.88349162253
2025-11-07 05:00:00,607414.9678903472,636971.1747490314,29556.206858684152
2025-11-10 05:00:00,597329.61490789,636971.1747490314,39641.55984114146
2025-11-11 05:00:00,596039.6577301249,636971.1747490314,40931.517018906496
2025-11-12 05:00:00,596308.6786658728,636971.1747490314,40662.496083158614
2025-11-13 05:00:00,610551.7344485146,636971.1747490314,26419.440300516828
2025-11-14 05:00:00,611408.6946962423,636971.1747490314,25562.48005278905
2025-11-17 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-18 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-19 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-20 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-21 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-24 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-25 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-26 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-11-28 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-01 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-02 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-03 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-04 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-05 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-08 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-09 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-10 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-11 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-12 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-15 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-16 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-17 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-18 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-19 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-22 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-23 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-24 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-26 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-29 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-30 05:00:00,675838.7067019013,675838.7067019013,0.0
2025-12-31 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-02 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-05 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-06 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-07 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-08 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-09 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-12 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-13 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-14 05:00:00,675838.7067019013,675838.7067019013,0.0
2026-01-15 05:00:00,675838.7067019013,675838.7067019013,0.0
